Designator,Mid X,Mid Y,Layer,Rotation
C1,9.398000mm,43.322800mm,Top,0
C2,19.400000mm,32.800000mm,Top,270
C3,45.226600mm,33.665700mm,Top,270
C4,61.089600mm,44.592800mm,Top,180
C5,18.300000mm,32.800000mm,Top,270
C6,46.623600mm,33.665700mm,Top,270
C7,49.925600mm,30.617700mm,Top,270
C8,12.446000mm,42.560800mm,Top,270
C10,10.321900mm,12.500000mm,Top,0
C12,51.737100mm,22.116100mm,Top,0
C15,25.704800mm,19.599200mm,Top,270
C16,45.200000mm,27.500000mm,Top,0
C17,31.292800mm,44.897600mm,Top,180
C18,18.700000mm,28.800000mm,Top,270
C19,36.118800mm,19.314700mm,Top,270
C20,48.562100mm,24.275100mm,Top,270
C21,19.318600mm,40.777700mm,Top,90
C22,43.840400mm,43.272000mm,Top,0
C23,14.630400mm,42.560800mm,Top,270
D1,19.761200mm,45.253200mm,Top,0
D2,3.522500mm,41.100000mm,Top,0
D3,3.528500mm,39.400000mm,Top,0
D4,3.518500mm,37.700000mm,Top,0
D5,3.512500mm,36.000000mm,Top,0
D6,2.800000mm,47.100000mm,Top,0
D7,2.700000mm,44.000000mm,Top,0
L1,9.093200mm,46.828000mm,Top,180
R1,6.100000mm,40.700000mm,Top,180
R2,17.200000mm,32.400000mm,Top,90
R3,48.452400mm,33.640300mm,Top,90
R4,53.896800mm,48.707600mm,Top,0
R5,6.124000mm,39.100000mm,Top,180
R6,6.600000mm,35.900000mm,Top,180
R7,6.100000mm,37.400000mm,Top,180
R8,9.700800mm,37.480800mm,Top,0
R9,9.702800mm,38.649200mm,Top,180
R10,4.600000mm,48.900000mm,Top,180
R11,2.900000mm,45.500000mm,Top,180
R12,4.290000mm,34.000000mm,Top,0
R13,7.400000mm,34.100000mm,Top,0
R14,11.990000mm,34.100000mm,Top,180
R15,14.900000mm,34.100000mm,Top,0
R40,63.133600mm,41.410700mm,Top,270
R41,52.324000mm,38.903200mm,Top,90
R42,47.752000mm,42.814800mm,Top,0
R43,28.900000mm,46.090000mm,Top,90
R44,47.766600mm,38.014200mm,Top,180
R45,47.768600mm,36.755700mm,Top,180
U1,31.839600mm,32.558700mm,Top,0
U2,9.402000mm,40.695000mm,Top,0
U10,50.975100mm,24.656100mm,Top,90
U11,47.215600mm,30.617700mm,Top,180
U12,57.700000mm,39.995000mm,Top,270
